dataset,copy,arm,epsilon,users,margin_at_20_median,local_boundary_perturbation_median,margin_to_local_perturbation_median,full_catalog_linf_perturbation_median,conservative_stability_ratio_median,conservative_certificate_fraction,top20_replacement_fraction_mean,top20_replacement_fraction_median,top20_jaccard_mean,best_target_absolute_rank_change_median,best_target_hit_loss_fraction,best_target_hit_gain_fraction
amazon_kindle,3,eps4,3.9999999999999876,9860,1.245601128098761e-06,0.001984024216128071,0.000633927547756553,0.005083356106792158,0.00011844285912454368,0.0,0.9900557809330629,1.0,0.005128783430267363,599.0,0.11095334685598378,0.025963488843813387
amazon_kindle,3,eps8,8.000000000000085,9860,1.245601128098761e-06,0.001011639031514689,0.0012636948130950408,0.0025156852604472446,0.00023786508611969392,0.0,0.9827586206896551,1.0,0.008937993938527726,575.0,0.1077079107505071,0.02667342799188641
ml1m,1,eps1,1.0,6037,0.0016262639995723305,0.013004054430844236,0.15910291843517008,0.033840148949018274,0.028530594821948915,0.0,0.06021202584064935,0.050000000000000044,0.889633777503593,0.0,0.006957097896306112,0.003809839324167633
ml1m,1,eps2p193,2.193078238018666,6037,0.0016262639995723305,0.009220611353786268,0.2376300859979134,0.016851025745653184,0.06147783903283976,0.0,0.03299652145105187,0.050000000000000044,0.9384155202075132,0.0,0.002981613384131191,0.002650323008116614
ml1m,1,eps4,3.9999999999999876,6037,0.0016262639995723305,0.006692292009103512,0.32776274580022857,0.010289012057381051,0.10351767112246764,0.0,0.026602617193970536,0.050000000000000044,0.9502717844977194,0.0,0.0014908066920655955,0.001656451880072884
ml1m,1,eps8,8.000000000000085,6037,0.0016262639995723305,0.0043790254145163465,0.4892023945331379,0.006699483561217259,0.1642117045378592,0.0006625807520291535,0.020084479045883733,0.0,0.9626383157297971,0.0,0.0014908066920655955,0.0011595163160510187
ml1m,2,eps1,1.0,6038,0.0022167574400216855,0.0201595637685826,0.15903160520089488,0.031829657205405995,0.05621292343452175,0.0,0.056566743954952,0.050000000000000044,0.8963395412809737,0.0,0.0076184166942696255,0.0051341503809208345
ml1m,2,eps2p193,2.193078238018666,6038,0.0022167574400216855,0.011351891119530985,0.2818455261499176,0.015668326435820584,0.12056647947125965,0.0,0.03754554488241143,0.050000000000000044,0.9299617290854332,0.0,0.004968532626697582,0.0038092083471348128
ml1m,2,eps4,3.9999999999999876,6038,0.0022167574400216855,0.006971952640608958,0.43308967968202094,0.0100986181547695,0.19496516228127325,0.0,0.022093408413381935,0.0,0.9591443822351355,0.0,0.001987413050679033,0.0011593242795627692
ml1m,2,eps8,8.000000000000085,6038,0.0022167574400216855,0.004124378780497921,0.6981223195856948,0.006529218252559381,0.30436429481179716,0.00546538588936734,0.007750910897648234,0.0,0.9862283538213178,0.0,0.0003312355084465055,0.0004968532626697582
ml1m,3,eps1,1.0,6037,0.0019661216842341567,0.019311370816049722,0.09884571253688022,0.03656622910115566,0.02408605487939598,0.0,0.05569819446745074,0.050000000000000044,0.8988732959741688,0.0,0.006294517144276959,0.003478548948153056
ml1m,3,eps2p193,2.193078238018666,6037,0.0019661216842341567,0.01247345070380089,0.18494019929350997,0.021161846442644017,0.04457201483623296,0.0,0.030967367897962582,0.050000000000000044,0.9425265898370541,0.0,0.0024846778201093257,0.0014908066920655955
ml1m,3,eps4,3.9999999999999876,6037,0.0019661216842341567,0.007486540851819046,0.33065169208542783,0.013353923901947395,0.06992051221810061,0.0,0.024126221633261575,0.0,0.9550256357616088,0.0,0.0019877422560874605,0.000828225940036442
ml1m,3,eps8,8.000000000000085,6037,0.0019661216842341567,0.0037347978734965648,0.6301938306676609,0.007792913921887745,0.11771057760252522,0.0006625807520291535,0.014278615206228272,0.0,0.9734320155757904,0.0,0.0004969355640218651,0.0004969355640218651
netflix5k5k,1,eps1,1.0,4641,1.6348153898323352e-05,0.015473157186997346,0.0009703730972099095,0.016589520944273746,0.00041856542075439744,0.0,0.3723658694246929,0.25,0.5151889013487775,3.0,0.049773755656108594,0.05472958414134885
netflix5k5k,1,eps2p193,2.193078238018666,4641,1.6348153898323352e-05,0.009525199953647534,0.0015880776428589417,0.009315953110960305,0.0007429704487000367,0.0,0.28138332255979315,0.15000000000000002,0.6339294211989217,2.0,0.031243266537384184,0.046326222796811034
netflix5k5k,1,eps4,3.9999999999999876,4641,1.6348153898323352e-05,0.005857582385660182,0.0025438944212055645,0.005589766807051715,0.0012172028650944038,0.0,0.24027149321266966,0.09999999999999998,0.6936628800339608,2.0,0.025425554837319543,0.03361344537815126
netflix5k5k,1,eps8,8.000000000000085,4641,1.6348153898323352e-05,0.003357942172122065,0.004373056366058853,0.0031869338377577203,0.0021020019149592464,0.0,0.2171083818142642,0.050000000000000044,0.7273863122443539,2.0,0.022193492781728077,0.028226675285498815
netflix5k5k,2,eps1,1.0,4627,1.1957511610333356e-05,0.005720572979006152,0.0023213201855629157,0.008775845250808127,0.0007962761970774807,0.0,0.5221850010806138,0.4,0.35046090376106603,5.0,0.08104603414739572,0.04797925221525827
netflix5k5k,2,eps2p193,2.193078238018666,4627,1.1957511610333356e-05,0.002659384624836443,0.0048946616613224905,0.0037529541853964774,0.0018215248174404484,0.0,0.3960017289820618,0.25,0.48226866458102574,3.0,0.05186946185433326,0.04430516533390966
netflix5k5k,2,eps4,3.9999999999999876,4627,1.1957511610333356e-05,0.001081143276392288,0.011619968421214058,0.0016367432240542443,0.0039081157029879215,0.0,0.32767451912686407,0.19999999999999996,0.5654125677707663,3.0,0.040414955694834664,0.037821482602118005
netflix5k5k,2,eps8,8.000000000000085,4627,1.1957511610333356e-05,0.000433535185822077,0.02893822337107585,0.0007123282607257185,0.008744352555399725,0.0,0.2692025070239896,0.15000000000000002,0.6414783447409274,2.0,0.02939269505078885,0.03177004538577912
netflix5k5k,3,eps1,1.0,4622,8.73111544715701e-06,0.014549786812060768,0.0006198209618242706,0.014217108367081888,0.00027117033101964057,0.0,0.44478580700995246,0.30000000000000004,0.4280692674470058,3.0,0.0540891389009087,0.04694937256598875
netflix5k5k,3,eps2p193,2.193078238018666,4622,8.73111544715701e-06,0.008369579363581285,0.0010494733031211894,0.007714953890818492,0.0004898776988200975,0.0,0.3324534833405452,0.19999999999999996,0.5652196617666989,2.0,0.040242319342276074,0.041756815231501515
netflix5k5k,3,eps4,3.9999999999999876,4622,8.73111544715701e-06,0.004864766512518595,0.0017539725594150953,0.0044603387403579445,0.0008399723694875582,0.0,0.285417568152315,0.15000000000000002,0.6303306580626412,2.0,0.03375162267416703,0.033318909562959756
netflix5k5k,3,eps8,8.000000000000085,4622,8.73111544715701e-06,0.0026086296861347457,0.0031472968489912644,0.002401417603066054,0.0015072994977486575,0.0,0.25146040675032455,0.09999999999999998,0.6799520980325766,2.0,0.030073561228905237,0.026828212894850715
